Phase,AgentID,Starting Room Name,Starting Node,Room Name,Path,Agent Type,Environmental Preference,Circulation Preference,Spatial Preference,Target Normalized Degree Centrality,Target Normalized Closeness Centrality,Target Normalized Betweenness Centrality,Target Normalized PageRank,Target Normalized Clustering,Target Normalized Core Number,Target Normalized Circulation Index,Target Normalized Occupancy,Target Normalized Isovist Area,Target Normalized Perimeter,Target Normalized Compactness,Target Normalized Circularity,Target Normalized Convex Deficiency,Target Normalized Occlusivity,Target Normalized Skewness,Target Normalized Dispersion,Target Normalized Elongation,Target Normalized Incident Radiation,Target Normalized Sunlight Hours,Target Normalized Daylight Factor,Target Normalized Standard Effective Temperature,Target Normalized Predicted Mean Vote,Target Normalized Comfort Acceptance,Target Normalized Subject Condition,Toilet Break Interval,Cafe Break Intervals,Environmental Average,Circulation Average,Spatial Average,Dominant Preference,Target Node Index,Target Node Name
2,10,CORRIDOR,261,RESEARCH,,Student,0.2368421052631578,0.3092105263157894,0.4539473684210526,0.03,0.43,0.75,0.67,0.19,0.89,0.46,0.62,0.1,0.38,0.02,0.14,0.04,0.65,0.41,0.16,0.98,0.23,0.28,0.87,0.89,0.52,0.96,0.1,0.13,0.59,0.55,0.4886,0.2375,Spatial Preference,624,ADMIN CORRIDOR
2,11,EAST ATRIUM,31,CLASSROOM,,Student,0.7295081967213115,0.0163934426229508,0.2540983606557377,0.58,0.34,0.85,0.36,0.19,0.31,0.04,0.36,0.94,0.67,0.46,0.46,0.76,0.46,0.3,0.29,0.35,0.83,0.99,0.72,0.1,0.25,0.47,0.31,0.14,0.62,0.5243,0.3814,0.5425,Environmental Preference,423,SEMINAR
2,12,PUBLIC (ENTRY),78,DIAGNOSTIC CLASS LAB,,Student,0.3236714975845411,0.3429951690821256,0.3333333333333333,0.31,0.3,0.52,0.07,0.24,0.54,0.45,0.34,0.46,0.46,0.17,0.18,1.0,0.29,0.93,0.09,0.74,0.75,0.85,0.16,0.12,0.43,0.49,0.02,0.69,0.74,0.4029,0.3471,0.4475,Circulation Preference,381,ADMIN CORR.
2,13,EAST ATRIUM,260,RESEARCH,,Student,0.2718446601941748,0.4757281553398058,0.2524271844660194,0.72,0.33,0.99,0.84,0.93,0.89,0.0,0.05,0.56,0.33,0.24,0.34,0.22,0.93,0.97,0.97,0.36,0.4,0.0,0.23,0.51,0.7,0.95,0.53,0.3,0.62,0.4743,0.6714,0.57,Circulation Preference,237,STORAGE
2,14,BUILDING LOBBY,107,RESEARCH,,Student,0.1690140845070422,0.4225352112676057,0.4084507042253521,0.3,0.31,0.15,0.28,0.26,0.73,0.89,0.32,0.79,0.85,0.14,0.83,0.99,0.34,0.7,0.73,0.7,0.06,0.92,0.45,0.55,0.95,0.02,0.76,0.67,0.43,0.53,0.4171,0.6713,Circulation Preference,380,PUBLIC (ENTRY)
2,15,EAST ATRIUM,125,RESEARCH,,Student,0.2229299363057324,0.2738853503184713,0.5031847133757962,0.57,0.45,0.98,0.56,0.61,0.38,0.18,0.36,0.25,0.35,0.56,0.95,0.06,0.35,0.66,0.88,0.66,0.84,0.07,0.48,0.78,0.88,0.68,0.3,0.24,0.99,0.5757,0.5329,0.5075,Spatial Preference,268,SEMINAR
2,16,EAST ATRIUM,83,CLASSROOM (30),,Student,0.4395604395604395,0.1648351648351648,0.3956043956043956,0.64,0.48,0.03,0.51,0.16,0.28,0.14,0.98,0.73,0.02,0.34,0.16,1.0,0.45,0.55,0.17,1.0,0.45,0.81,0.31,0.89,0.68,0.04,0.03,0.9,0.07,0.4586,0.32,0.4275,Environmental Preference,626,WAITING / PREFUNCTION
2,17,AUDITORIUM,375,COLLAB,,Student,0.1213872832369942,0.5317919075144509,0.3468208092485549,0.62,0.99,0.1,0.52,0.23,0.31,0.06,0.11,0.57,0.05,0.81,0.02,0.19,0.36,0.11,0.46,0.32,0.64,0.03,0.1,0.54,0.29,0.02,0.75,0.93,0.15,0.3386,0.4043,0.3212,Circulation Preference,380,PUBLIC (ENTRY)
2,18,AUDITORIUM,250,ADL CLASS LAB,,Student,0.4659090909090908,0.4545454545454545,0.0795454545454545,0.13,0.8,0.07,0.97,0.06,0.83,0.3,0.54,0.06,0.62,0.22,0.96,0.1,0.94,0.43,0.83,0.27,0.19,0.86,0.43,0.51,0.73,0.5,0.49,0.17,0.13,0.53,0.4514,0.52,Environmental Preference,140,SEMINAR
2,19,EXAM SUITE CORRIDOR,264,PEDIATRIC CLASS LAB,,Student,0.04,0.32,0.64,0.91,0.34,0.56,0.3,0.09,0.61,0.97,0.9,0.8,0.17,0.71,0.78,0.81,0.7,0.22,0.69,0.57,0.39,0.93,0.57,0.67,0.4,0.81,0.65,0.46,0.51,0.6314,0.54,0.61,Spatial Preference,9,BUILDING LOBBY
2,20,EAST ATRIUM,375,COLLAB,,Student,0.2162162162162162,0.4324324324324324,0.3513513513513513,0.2,0.12,0.05,0.17,0.27,0.89,0.37,0.77,0.82,0.28,0.89,0.51,0.08,0.83,0.76,0.99,0.26,0.81,0.02,0.51,0.66,0.31,0.98,0.46,0.49,0.84,0.5357,0.2957,0.645,Circulation Preference,173,HUDDLE
2,21,ADMIN CORRIDOR,253,CLASSROOM,,Student,0.0903614457831325,0.572289156626506,0.3373493975903615,0.9,0.05,0.39,0.22,0.21,0.43,0.97,0.29,0.42,0.14,0.65,0.81,0.82,0.69,0.29,0.06,0.49,0.8,0.51,0.85,0.24,0.29,0.2,0.59,0.53,0.5,0.4971,0.4529,0.485,Circulation Preference,585,PATIENT UNIT CORRIDOR
2,22,EAST ATRIUM,1,AUDITORIUM,,Student,0.3653846153846153,0.2769230769230769,0.3576923076923077,0.02,0.98,0.4,0.25,0.36,0.05,0.39,0.8,0.96,0.5,0.09,0.59,0.05,0.19,0.85,0.14,0.05,0.8,0.52,0.26,0.09,0.22,0.27,0.68,0.42,0.14,0.4057,0.35,0.4212,Environmental Preference,25,HK STORAGE
2,23,WEST ATRIUM,227,COLLAB,,Student,0.4155844155844155,0.3441558441558441,0.2402597402597402,0.22,0.07,0.61,0.91,0.64,0.26,0.74,0.37,0.59,0.78,0.7,0.96,0.46,0.64,0.02,0.93,0.22,0.84,0.02,0.25,0.25,0.45,0.16,0.77,0.41,0.36,0.3914,0.4929,0.635,Environmental Preference,25,HK STORAGE
2,24,AUDITORIUM,58,CLASSROOM STORAGE,,Student,0.411504424778761,0.1946902654867256,0.3938053097345132,0.12,0.8,0.22,0.8,0.44,0.01,0.91,0.16,0.93,0.6,0.12,0.11,0.16,0.32,0.81,0.31,0.2,0.79,0.52,0.6,0.14,0.86,0.25,0.25,0.71,0.12,0.4871,0.4714,0.42,Environmental Preference,514,ADMIN CORR.
2,25,PUBLIC CORR.,405,COLLAB,,Student,0.0625,0.4642857142857142,0.4732142857142857,0.25,0.87,0.04,0.84,0.19,0.1,0.07,0.72,0.99,0.4,0.03,0.65,0.13,0.48,0.82,0.96,0.76,0.01,0.64,0.09,0.98,0.96,0.42,0.28,0.99,0.68,0.4829,0.3371,0.5575,Spatial Preference,9,BUILDING LOBBY
2,26,STAIR,290,HUDDLE,,Student,0.2063492063492063,0.3968253968253968,0.3968253968253968,0.75,0.65,0.68,0.77,0.43,0.58,0.5,0.99,0.74,0.95,0.56,0.76,0.88,0.58,0.32,0.59,0.13,0.19,0.78,0.41,0.65,0.96,0.79,0.35,0.45,0.29,0.59,0.6229,0.6725,Circulation Preference,349,ADMIN CORR.
2,27,EXAM SUITE CORRIDOR,32,CLASSROOM,,Student,0.3850574712643678,0.5114942528735632,0.1034482758620689,0.09,0.42,0.44,0.03,0.92,0.85,0.81,0.81,0.0,0.29,0.98,0.39,0.31,0.39,0.0,0.65,0.47,0.18,0.59,0.26,0.9,0.48,0.82,0.26,0.1,0.65,0.4986,0.5086,0.3763,Circulation Preference,617,EAST ATRIUM
2,28,EAST ATRIUM,429,HUDDLE,,Student,0.28125,0.44375,0.275,0.59,0.12,0.61,0.48,0.12,0.18,0.88,0.16,0.25,0.39,0.8,0.94,0.04,0.51,0.85,0.84,0.27,0.15,0.84,0.53,0.77,1.0,0.85,0.59,0.48,0.94,0.6757,0.4257,0.5775,Circulation Preference,619,ADMIN CORR.
2,29,EAST ATRIUM,80,CLASSROOM,,Student,0.4358974358974359,0.173076923076923,0.391025641025641,0.65,0.23,0.49,0.43,0.58,0.1,0.88,0.48,0.92,0.65,0.23,0.48,0.08,0.2,0.5,0.89,0.92,0.71,0.88,0.44,0.19,0.51,0.77,0.57,0.45,0.95,0.5814,0.48,0.4938,Environmental Preference,583,EXAM SUITE CORRIDOR
2,30,EAST ATRIUM,81,COMPUTER CLASSROOM,,Student,0.2173913043478261,0.6666666666666667,0.1159420289855072,0.84,0.42,0.5,0.97,0.39,0.16,0.41,0.54,0.07,0.93,0.65,0.29,0.26,0.73,0.03,0.12,0.48,0.38,0.67,0.78,0.72,0.2,0.5,0.28,0.43,0.79,0.5043,0.5271,0.385,Circulation Preference,234,ADMIN CORR.
2,31,AUDITORIUM,466,OPEN HUDDLE,,Student,0.4779874213836478,0.3710691823899371,0.1509433962264151,0.97,0.59,0.13,0.46,0.8,0.7,0.64,0.59,0.14,0.28,0.69,0.74,0.05,0.29,0.58,0.97,0.36,0.67,0.7,0.98,0.27,0.4,0.84,0.87,0.46,0.99,0.6757,0.6129,0.4675,Environmental Preference,377,PUBLIC (STAIR)
2,32,PUBLIC CORR.,267,RESEARCH,,Student,0.2513368983957219,0.3262032085561497,0.4224598930481283,0.94,0.76,0.67,0.29,0.45,0.32,0.74,0.45,0.5,0.3,0.04,0.33,0.8,0.29,0.17,0.01,0.54,0.68,0.34,0.12,0.44,1.0,0.93,0.18,0.95,0.42,0.5271,0.5957,0.305,Spatial Preference,396,EAST ATRIUM
2,33,WEST ATRIUM,414,MAKERSPACE MEDIA LAB,,Student,0.0454545454545454,0.7727272727272727,0.1818181818181818,0.08,0.07,0.57,0.38,0.63,0.53,0.58,0.54,0.02,0.17,0.98,0.88,0.13,0.4,0.93,0.32,0.79,0.16,0.3,0.85,0.95,0.25,0.85,0.78,0.56,0.35,0.5914,0.4057,0.4787,Circulation Preference,380,PUBLIC (ENTRY)
2,34,EAST ATRIUM,108,RESEARCH,,Student,0.3950617283950617,0.345679012345679,0.2592592592592592,0.45,0.48,0.39,0.43,0.99,0.34,0.01,0.29,0.51,0.36,0.66,0.73,0.85,0.13,0.81,0.11,0.11,0.88,0.7,0.4,0.96,0.41,0.69,0.26,0.64,1.0,0.6143,0.4414,0.52,Environmental Preference,291,HUDDLE
2,35,EAST ATRIUM,490,COLLAB,,Student,0.04,0.36,0.6,0.68,0.61,0.88,0.68,0.24,0.49,0.92,0.61,0.24,0.18,0.52,0.35,0.74,0.17,0.08,0.69,0.88,0.48,0.22,0.07,0.18,0.99,0.17,0.88,0.29,0.4,0.4271,0.6429,0.3713,Spatial Preference,46,VESTIBULE
2,36,PUBLIC CORR.,227,COLLAB,,Student,0.5466666666666666,0.4066666666666667,0.0466666666666666,0.64,0.73,0.98,0.03,0.25,0.93,0.31,0.62,0.86,0.49,0.03,0.08,0.36,0.41,0.99,0.07,0.36,0.84,0.08,0.48,0.62,0.83,0.43,0.58,0.56,0.03,0.5514,0.5529,0.4113,Environmental Preference,46,VESTIBULE
2,37,EAST ATRIUM,154,HUDDLE,,Student,0.5838926174496645,0.0201342281879194,0.3959731543624161,0.82,0.84,0.58,0.75,0.04,0.49,0.0,0.35,0.86,0.74,0.99,0.67,0.98,0.17,0.8,0.83,0.22,0.24,0.07,0.67,0.11,0.86,0.46,0.09,0.8,0.97,0.3571,0.5029,0.755,Environmental Preference,25,HK STORAGE
2,38,AUDITORIUM,58,CLASSROOM STORAGE,,Student,0.4444444444444445,0.1111111111111111,0.4444444444444445,0.99,0.84,0.19,0.93,0.13,0.36,0.95,0.83,0.29,0.41,0.1,0.06,0.35,0.07,0.72,0.69,0.98,0.94,0.62,0.71,0.2,0.98,0.82,0.5,0.07,0.27,0.6814,0.6271,0.3362,Environmental Preference,377,PUBLIC (STAIR)
2,39,PREFUNCTION,211,COLLAB,,Student,0.4848484848484848,0.0151515151515151,0.5,0.9,0.37,0.66,0.57,0.34,0.3,0.84,0.22,0.27,0.79,0.96,0.23,0.87,0.89,0.67,0.37,0.04,0.55,0.75,0.9,0.56,0.4,0.77,0.4,0.44,0.89,0.6186,0.5686,0.6312,Spatial Preference,9,BUILDING LOBBY
2,40,EAST ATRIUM,212,DIAGNOSTIC CLASS LAB STORAGE,,Student,0.3721973094170403,0.210762331838565,0.4170403587443946,0.95,0.96,0.75,0.71,0.49,0.42,0.07,0.17,0.17,0.68,0.77,0.24,0.58,0.89,0.64,0.49,0.64,0.07,0.15,0.48,0.5,0.97,0.05,0.05,0.22,0.23,0.3243,0.6214,0.5575,Spatial Preference,9,BUILDING LOBBY
2,41,STAIR,466,OPEN HUDDLE,,Student,0.6349206349206349,0.2857142857142856,0.0793650793650793,0.48,0.53,0.5,0.98,0.33,0.6,0.61,0.25,0.49,0.92,0.56,0.46,0.13,0.83,0.81,0.18,0.81,0.03,0.3,0.41,0.49,0.86,0.77,0.25,0.32,0.36,0.4443,0.5757,0.5475,Environmental Preference,25,HK STORAGE
2,42,STAIR 03,125,RESEARCH,,Student,0.3485477178423236,0.3651452282157676,0.2863070539419087,0.42,0.67,0.56,0.3,0.63,0.43,0.58,0.34,0.4,0.52,0.7,0.47,0.99,0.24,0.44,0.99,0.93,0.52,0.3,0.79,0.16,0.5,0.78,0.54,0.07,0.08,0.5129,0.5129,0.5938,Circulation Preference,401,ADMIN CORR.
2,43,EAST ATRIUM,260,RESEARCH,,Student,0.1337209302325581,0.5174418604651162,0.3488372093023255,0.83,0.66,0.21,0.82,0.13,0.21,0.48,0.98,0.88,0.69,0.92,0.39,0.2,0.16,0.88,0.74,0.91,0.16,0.18,0.49,0.81,0.28,0.46,0.28,0.89,0.02,0.38,0.4771,0.6075,Circulation Preference,514,ADMIN CORR.
2,44,EAST ATRIUM,227,COLLAB,,Student,0.1055900621118012,0.5962732919254659,0.2981366459627329,0.75,0.17,0.59,0.3,0.84,0.63,0.44,0.12,0.64,0.05,0.66,0.91,0.01,0.57,0.91,0.72,0.7,0.25,0.46,0.06,0.29,0.44,0.68,0.11,0.29,0.09,0.3271,0.5314,0.5588,Circulation Preference,234,ADMIN CORR.
2,45,PUBLIC CORR.,106,RESEARCH,,Student,0.2761194029850746,0.4253731343283582,0.2985074626865672,0.27,0.43,0.53,0.69,0.86,0.22,0.7,0.66,0.98,0.96,0.6,0.29,0.42,0.55,0.42,0.05,0.2,0.51,0.07,0.51,0.4,0.58,0.51,0.7,0.96,0.83,0.4686,0.5286,0.5337,Circulation Preference,234,ADMIN CORR.
2,46,EAST ATRIUM,125,RESEARCH,,Student,0.1184210526315789,0.8289473684210527,0.0526315789473684,0.9,0.51,0.78,0.47,0.13,0.94,0.43,0.78,0.19,0.43,0.5,0.36,0.89,0.37,0.73,0.61,0.52,0.44,0.79,0.71,0.56,0.57,0.64,0.23,0.91,0.58,0.5629,0.5943,0.51,Circulation Preference,379,"ADMIN CORR,"
2,47,EAST ATRIUM,228,COLLAB,,Student,0.4383561643835616,0.2785388127853881,0.2831050228310502,0.48,0.67,0.91,0.35,0.79,0.01,0.17,0.61,0.79,0.65,0.53,0.83,0.45,0.84,0.41,0.51,0.65,0.59,0.97,0.7,0.84,0.34,0.84,0.03,0.9,0.14,0.6157,0.4829,0.6262,Environmental Preference,291,HUDDLE
2,48,STAIR 01,153,HUDDLE,,Student,0.7383177570093458,0.0654205607476635,0.1962616822429906,0.39,0.04,0.9,0.42,0.85,0.42,0.88,0.16,0.51,0.07,0.49,0.26,0.2,0.8,0.43,0.16,0.75,0.11,0.62,0.48,0.15,0.16,0.94,0.42,0.33,0.91,0.4114,0.5571,0.365,Environmental Preference,25,HK STORAGE
2,49,EAST ATRIUM,248,CLASSROOM,,Student,0.3274853801169591,0.4327485380116959,0.239766081871345,0.62,0.96,0.78,0.23,0.41,0.55,0.19,0.73,0.05,0.04,0.32,0.57,0.34,0.79,0.4,0.23,0.27,0.96,0.51,0.83,0.64,0.31,0.54,0.3,0.7,0.98,0.5843,0.5343,0.3425,Circulation Preference,600,PUBLIC CORR.
2,50,PUBLIC CORR.,211,COLLAB,,Student,0.2366412213740457,0.1679389312977099,0.5954198473282443,0.51,0.88,0.03,0.31,0.91,0.03,0.36,0.82,0.16,0.22,0.41,0.98,0.41,0.97,0.72,0.25,0.86,0.18,0.95,0.06,0.95,0.17,0.46,0.97,0.44,0.84,0.5343,0.4329,0.515,Spatial Preference,9,BUILDING LOBBY
2,51,EAST ATRIUM,262,RESEARCH,,Student,0.1168831168831168,0.0129870129870129,0.8701298701298702,0.51,0.69,0.66,0.78,0.89,0.46,0.79,0.23,0.72,0.52,0.58,0.24,0.61,0.95,0.7,0.09,0.63,0.51,0.97,0.69,0.96,0.01,0.39,0.47,0.66,0.45,0.5714,0.6829,0.5512,Spatial Preference,9,BUILDING LOBBY
2,52,ADMIN CORR.,99,CLASSROOM,,Student,0.074074074074074,0.8888888888888888,0.037037037037037,0.84,0.5,0.97,0.41,0.03,0.79,0.98,0.02,0.94,0.07,0.82,0.65,0.1,0.77,0.7,0.16,0.83,0.83,0.27,0.88,0.31,0.09,0.84,0.6,0.37,0.56,0.5457,0.6457,0.5262,Circulation Preference,515,PUBLIC CORR.
2,53,EAST ATRIUM,430,HUDDLE,,Student,0.3070175438596491,0.6140350877192983,0.0789473684210526,0.02,0.8,0.02,0.3,0.16,0.23,0.28,0.5,0.13,0.35,0.78,0.27,0.64,0.82,0.87,0.44,0.48,0.34,0.52,0.03,0.74,0.02,0.66,1.0,0.57,0.5,0.4729,0.2586,0.5375,Circulation Preference,444,ELEVATOR
2,54,PATIENT UNIT CORRIDOR,107,RESEARCH,,Student,0.272189349112426,0.2485207100591716,0.4792899408284024,0.43,0.36,0.09,0.84,0.26,0.52,0.35,0.96,0.35,0.46,0.67,0.03,0.39,0.2,0.99,0.91,0.74,0.13,0.42,0.72,0.42,0.73,1.0,0.83,0.72,0.56,0.6071,0.4071,0.5,Spatial Preference,268,SEMINAR
2,55,EAST ATRIUM,252,CLASSROOM,,Student,0.524822695035461,0.2340425531914893,0.2411347517730496,0.21,0.08,0.27,0.18,0.29,0.95,0.16,0.97,0.78,0.08,0.5,0.27,0.97,0.23,0.11,0.54,0.66,0.58,0.08,0.9,0.14,0.96,0.01,0.08,0.87,0.82,0.3929,0.3057,0.435,Environmental Preference,25,HK STORAGE
2,56,PREFUNCTION,107,RESEARCH,,Student,0.3159851301115242,0.345724907063197,0.3382899628252788,0.74,0.11,0.44,0.26,0.77,0.23,0.91,0.85,0.9,0.12,0.73,0.79,0.01,0.73,0.85,0.14,0.81,0.74,0.4,0.92,0.28,0.0,0.75,0.36,0.56,0.36,0.4929,0.4943,0.5337,Circulation Preference,400,ADMIN CORR.
2,57,PUBLIC CORR.,106,RESEARCH,,Student,0.3772455089820359,0.4850299401197605,0.1377245508982036,0.6,0.45,0.72,0.27,0.79,0.2,0.36,0.42,0.06,0.26,0.19,0.35,0.21,0.23,0.13,0.79,0.33,0.15,0.52,0.15,0.65,0.94,0.31,0.98,0.92,0.96,0.5286,0.4843,0.2775,Circulation Preference,514,ADMIN CORR.
2,58,STAIR 04,212,DIAGNOSTIC CLASS LAB STORAGE,,Student,0.5512820512820512,0.1089743589743589,0.3397435897435897,0.73,0.59,0.32,0.05,0.72,0.6,0.01,0.51,0.72,0.71,0.04,0.31,0.67,0.78,0.46,0.91,0.71,0.43,0.54,0.9,0.67,0.15,0.03,0.69,0.49,0.25,0.4871,0.4314,0.575,Environmental Preference,514,ADMIN CORR.
2,59,PUBLIC CORR.,77,CLASSROOM,,Student,0.1944444444444444,0.25,0.5555555555555556,0.85,0.83,0.99,0.22,0.43,0.33,0.49,0.93,0.08,0.94,0.41,0.66,0.88,0.89,0.29,0.85,0.86,0.12,0.5,0.66,0.09,0.13,0.43,0.31,0.7,0.86,0.32,0.5914,0.625,Spatial Preference,9,BUILDING LOBBY
2,60,EAST ATRIUM,32,CLASSROOM,,Student,0.2978723404255319,0.5638297872340425,0.1382978723404255,0.23,0.82,0.28,1.0,0.58,0.6,0.95,0.54,0.61,0.65,0.06,0.77,1.0,0.89,0.67,0.26,0.88,0.18,0.6,0.85,0.45,0.07,0.5,0.13,0.58,0.53,0.3971,0.6371,0.6138,Circulation Preference,515,PUBLIC CORR.
2,61,EAST ATRIUM,1,AUDITORIUM,,Student,0.4356435643564356,0.3267326732673267,0.2376237623762376,0.25,0.7,0.23,0.73,0.09,0.83,0.48,0.4,0.29,0.49,0.14,0.13,0.84,0.72,0.87,0.44,0.2,0.54,0.48,0.33,0.96,0.71,0.4,0.51,0.19,0.25,0.5614,0.4729,0.49,Environmental Preference,28,STUDENT COLLABORATION
2,62,EAST ATRIUM,107,RESEARCH,,Student,0.3365853658536585,0.2731707317073171,0.3902439024390244,0.7,0.78,0.14,0.1,0.96,0.15,0.13,0.62,0.61,0.85,0.25,0.58,0.23,0.86,0.17,0.01,0.95,0.21,0.84,0.78,0.09,0.21,0.09,0.08,0.61,0.09,0.3286,0.4229,0.445,Spatial Preference,303,STAIR
2,63,ELEVATOR,76,CLASSROOM,,Student,0.3214285714285714,0.619047619047619,0.0595238095238095,0.39,0.93,0.66,0.3,0.02,0.66,0.33,0.36,0.28,0.72,0.81,0.88,0.04,0.04,0.43,0.27,0.73,0.3,0.19,0.6,0.43,0.31,0.43,0.89,0.71,0.08,0.45,0.47,0.4338,Circulation Preference,53,EAST ATRIUM
2,64,PUBLIC CORR.,84,CLASSROOM (30),,Student,0.1981981981981981,0.4189189189189189,0.3828828828828828,0.13,0.61,0.16,0.9,0.53,0.83,0.11,0.02,0.39,0.77,0.7,0.3,0.46,0.47,0.57,0.07,0.03,0.18,0.75,0.89,0.92,0.69,0.79,0.73,0.68,0.67,0.7071,0.4671,0.4662,Circulation Preference,53,EAST ATRIUM
2,65,EAST ATRIUM,78,DIAGNOSTIC CLASS LAB,,Student,0.0853658536585365,0.073170731707317,0.8414634146341463,0.7,0.53,0.24,0.73,0.54,0.58,0.06,0.75,0.59,0.97,0.7,0.34,0.6,0.53,0.51,0.48,0.05,0.04,0.5,0.86,0.03,0.69,0.78,0.35,0.55,0.15,0.4643,0.4829,0.59,Spatial Preference,9,BUILDING LOBBY
2,66,ADMIN CORR.,76,CLASSROOM,,Student,0.15,0.35,0.5,0.34,0.89,0.34,0.71,0.35,0.44,0.64,0.37,0.41,0.95,0.29,0.06,0.73,1.0,0.55,0.43,0.68,0.16,0.1,0.87,0.05,0.69,0.19,0.47,0.37,0.89,0.3614,0.53,0.5525,Spatial Preference,9,BUILDING LOBBY
