Node,Occupancy,Room Name
437,0,STAFF OFFICE
448,0,STAFF OFFICE
466,0,OPEN HUDDLE
431,0,COLLAB HUB
513,4,RECEPTION
433,0,PUBLIC CORR
452,0,OFFICE
453,0,OFFICE
454,0,OFFICE
455,0,OFFICE
456,0,OFFICE
458,0,OFFICE
459,0,OFFICE
461,0,TOILET
464,5,ELECT
465,0,TOILET
489,1,ADMIN COR.
492,2,ADMIN ENTRY
494,0,DATA
506,3,DF
507,0,OFFICE
438,0,PANTRY
439,0,COLLAB HUB
491,1,ADMIN ENTRY
441,0,ELEVATOR
501,4,VENDING / TRASH+RECYCLING
514,0,ELEVATOR
442,0,STAIR 02
443,0,OFFICE
444,0,OFFICE
446,0,OFFICE
447,0,OFFICE
449,0,OFFICE
450,0,OFFICE
451,0,OFFICE
477,0,CHAIR OFFICE
445,0,OFFICE
460,0,TOILET
519,3,JAN
462,4,CLO.
463,0,TOILET
500,3,WORKRM/STOR
467,0,OFFICE
468,0,OFFICE
469,0,OFFICE
470,0,OFFICE
471,0,OFFICE
472,0,OFFICE
473,0,OFFICE
475,0,OFFICE
478,0,OFFICE
479,0,OFFICE
474,0,OFFICE
476,0,OFFICE
482,0,OFFICE
480,0,CHAIR OFFICE
488,0,STAIR 03
499,0,CONF(12)
504,0,CONF(8)
517,1,CLO.
493,0,STAIR 04
508,0,ELECT
520,3,EQUIP.
521,1,SIM: MH
534,1,DEBRIEF
577,0,EXAM SUITE CORRIDOR
592,0,STAIR 01
602,4,CONTROL
605,0,STORAGE
611,0,EAST ATRIUM
626,0,CORRIDOR
522,0,EXAM
523,0,EXAM
524,0,EXAM
526,0,EXAM
527,0,EXAM
525,0,EXAM
529,0,EXAM
530,0,EXAM
531,0,EXAM
573,0,EXAM
528,2,SP LOUNGE
536,2,SP DRESSING
578,0,SP STORAGE
606,3,SIM STAFF
614,1,SP DRESSING
532,2,DEBRIEF
533,3,DEBRIEF
537,1,PREBRIEF
539,0,SUPPLY/EQUIPMENT STORAGE
540,2,MANIKIN PREP
549,3,DEBRIEF
623,3,LOCKERS
535,0,OFFICE
552,0,OFFICE
556,0,OFFICE
589,0,OFFICE
613,0,ADMIN CORR.
538,0,PREBRIEF
550,1,DEBRIEF
595,0,QUEUE
610,0,WEST ATRIUM
541,0,MED
576,0,BREAK /OFFICE
579,0,PATIENT UNIT CORRIDOR
542,0,LINEN
547,3,SUPPLY
622,1,MULTIPATIENT SIMULATION
543,4,SIM: CC
544,5,SIM: CC
545,1,SIM: MS
546,1,SIM: MS
548,2,SIM: FLEX
562,5,CONTROL
567,0,STORAGE
600,0,PATIENT UNIT CORRIDOR
551,2,MULTIPATIENT CONTROL
553,2,ASSOC. DEAN
554,0,OFFICE
555,0,OFFICE
560,3,ASSIST. DEAN
558,0,WORKRM/ STOR
584,0,TOILET
587,0,TOILET
594,0,PUBLIC CORR.
563,0,CONTROL
564,1,CONTROL
565,3,CONTROL
566,3,CONTROL
585,1,ELECT
568,0,ELEVATOR
621,0,ELEVATOR
569,1,SIM: LD
570,3,SIM: LD BATH
601,0,PATIENT UNIT CORRIDOR
571,2,CONTROL
604,0,STORAGE
572,3,SUPPLY
574,1,DEBRIEF / PREBRIEF (SP open)
575,0,SP CONTROL
599,0,STAIR 02
580,0,WS
581,0,WS
582,0,WS
583,0,CLO.
586,2,DATA
590,0,TOILET
591,0,TOILET
625,4,MAINT CLOSET
607,6,DF
608,1,VENDING / TRASH+RECYCLING
593,0,STAIR 03
603,2,SIMULATION AV EQUIPMENT
597,3,ADMIN ENTRY
620,1,WAITING / PREFUNCTION
612,0,PUBLIC CORR.
615,0,DEAN'S EXECUTIVE EDUCATION
618,0,ADMIN CORRIDOR
616,4,DEAN
617,5,ADMIN. COORD.
624,0,TOILET
376,0,PUBLIC (STAIR)
598,0,STAIR 04
